OBJECTID,COMPKEY,STNAME_ORD,FLOWSEGID,DOWNTOWN,START_DATE,AMPK,PMPK,AWDT,ADT,AWDT_ROUNDED,DATAQUALITY,FLAGS,SHAPE_Length
2032,12901,STEWART ST,891,Y,1970/01/01 00:00:00+00,,,9500,,9500,Estimate,,165.807692010595
2033,"13328,13329,531032",WEST SEATTLE BR EB,13,N,2014/10/30 00:00:00+00,,,95580,89725,95600,Study - 13-15,,3185.98029367778
2034,"8961,8962",AURORA AVE N,1951,N,1970/01/01 00:00:00+00,,,38500,,38500,Estimate,,528.848750740929
2035,"20911,13047,13042,13043,13045,13046,13044,13049,13048","S MYRTLE ST,SWIFT AVE S",224,N,2013/04/15 00:00:00+00,,,11444,11146,11400,Study - 13-15,,4305.09832542809
2036,16539,NE 130TH ST,1940,N,1970/01/01 00:00:00+00,,,25000,,25000,Estimate,,472.336604187749
2037,"11456,11458,11457,11459,11460,11453,11455",LINDEN AVE N,1913,N,2014/06/19 00:00:00+00,,,4443,4189,4400,Study - 13-15,,3985.46295904506
2038,"1211,1210",1ST AVE S,421,N,2015/12/14 00:00:00+00,,,22200,18460,22200,Study - 13-15,,684.13840656175
2039,"20774,20773,20772",S MASSACHUSETTS ST,496,N,2013/08/07 00:00:00+00,,,9324,8806,9300,Study - 13-15,,798.142853950062
2040,"16841,16842",NE 45TH ST,1455,N,1970/01/01 00:00:00+00,,,27000,,27000,Estimate,,530.174984009843
2041,9403,BRIDGE WAY N,1329,N,1970/01/01 00:00:00+00,,,6000,,6000,Estimate,,239.435838621837
2042,"1921,1922,1920",14TH AVE S,594,N,1970/01/01 00:00:00+00,,,10000,,10000,Estimate,,904.234697430563
2043,21868,SW BRACE POINT DR,87,N,2015/10/23 00:00:00+00,,,1141,1092,1100,Study - 13-15,,357.224636921798
2044,"6236,6235",4TH AVE S,500,N,1970/01/01 00:00:00+00,,,29000,,29000,Estimate,,1155.57656224948
2045,"20909,20908",S MYRTLE ST,189,N,1970/01/01 00:00:00+00,,,1300,,1300,Estimate,,374.870516775452
2046,"12437,12432,12436,12435,12430,12431,12434,12433",RAINIER AVE S,84,N,1970/01/01 00:00:00+00,,,19000,,19000,Estimate,,5167.44020859662
2047,"1234,1233",1ST AVE S,38,N,1970/01/01 00:00:00+00,,,5000,,5000,Estimate,,2952.37484175813
2048,4489,3RD AVE NW,1826,N,1970/01/01 00:00:00+00,,,11000,,11000,Estimate,,396.265876478519
2049,"13706,13708,13707",WOODLAWN AVE NE,1668,N,1970/01/01 00:00:00+00,,,7000,,7000,Estimate,,725.031165221075
2050,"14940,14943,14941,14946,14942,14944,14945,14939,14938",E YESLER WAY,595,N,2015/07/20 00:00:00+00,,,8300,8637,8300,Study - 13-15,,2916.86730570511
2051,"20985,20987,613379,20984,20988,20983,164794,20982,20989,20986",S ORCAS ST,258,N,2013/10/23 00:00:00+00,,,4531,4309,4500,Study - 13-15,,3380.27308364745
2052,12218,PINE ST,844,Y,2015/12/01 00:00:00+00,,,8717,8666,8700,Study - 13-15,,322.141724595657
2053,"10352,10350,662321",FAIRVIEW AVE N,1161,N,1970/01/01 00:00:00+00,,,13492,,13500,Study - 13-15,,465.535575596774
2054,"4635,4637,4640,4638,4641,4639,4633,4636,4634",30TH AVE NE,1919,N,2015/06/18 00:00:00+00,,,6591,5961,6600,Study - 13-15,,5293.74189738629
2055,18080,NE RAVENNA BLVD,1677,N,1970/01/01 00:00:00+00,,,1500,,1500,Estimate,,350.050853140834
2056,16752,NE 41ST ST,1408,N,1970/01/01 00:00:00+00,,,2000,,2000,Estimate,,158.412018741095
2057,"11188,11189,11190",LAKE CITY WAY NE,1917,N,2015/05/20 00:00:00+00,,,49254,44597,49300,Study - 13-15,,1993.79220908552
2058,"12295,12296,12294",QUEEN ANNE AVE N,1103,N,1970/01/01 00:00:00+00,,,10000,,10000,Estimate,,1277.16825155794
2059,2755,2ND AVE,737,Y,1970/01/01 00:00:00+00,,,16500,,16500,Estimate,,305.954501482463
2060,12197,PIKE ST,788,Y,1970/01/01 00:00:00+00,,,4500,,4500,Estimate,,321.873555081785
2061,"4935,4938,4936,4937",32ND AVE E,1121,N,1970/01/01 00:00:00+00,,,2800,,2800,Estimate,,1750.16169758231
2062,"12356,12353,12357,12358,12354,12355,573625",RAINIER AVE S,495,N,1970/01/01 00:00:00+00,,,36000,,36000,Estimate,,1585.01646186323
2063,13149,THORNDYKE AVE W,1215,N,1970/01/01 00:00:00+00,,,2800,,2800,Estimate,,388.960174036452
2064,"13309,13308,337306",VIRGINIA ST,823,Y,1970/01/01 00:00:00+00,,,2500,,2500,Estimate,,372.729354308943
2065,"14346,14347",E MADISON ST,943,N,2017/09/14 09:15:00+00,1199,1177,15903,15053,15900,Study,,464.823009844648
2066,"7528,7527,7526,7525",51ST AVE S,80,N,2018/01/18 12:30:00+00,740,789,9865,9437,9900,Study,,1110.68073321262
2067,11369,LENORA ST,915,Y,2017/10/18 13:00:00+00,418,561,6904,6632,6900,Study,,321.985359927464
2068,12314,QUEEN ANNE AVE N,1231,N,2018/01/24 08:00:00+00,690,776,10341,10078,10300,Study,,442.573230383265
2069,"16786,16785,16787",NE 42ND ST,1411,N,2018/01/23 08:45:00+00,286,380,3741,3398,3700,Study,,750.181051166244
2070,10668,GOLF DR S,2005,N,2017/11/15 09:45:00+00,1153,1329,15793,13916,15800,Study,,668.573312454364
2071,14640,E PINE ST,955,N,2018/01/23 12:00:00+00,468,528,6589,6352,6600,Study,,364.081532601616
2072,"21906,7211,7212,7214,7213","SW BRANDON ST,49TH AVE SW",281,N,2017/12/12 08:30:00+00,113,145,1400,1351,1400,Study,,1655.43388501541
2073,"12958,12959",STONE WAY N,1355,N,2018/01/18 08:30:00+00,781,984,11393,10964,11400,Study,,713.898079915149
2074,2029,15TH AVE NE,1384,N,2017/08/31 10:15:00+00,530,908,8502,7532,8500,Study,,231.722762565945
