OBJECTID,GEOBASID,DOWNTOWN,COMPKEY,STNAME,OBJECTID_1,NAME,YEAR,SEGKEY,AAWDT,INPUT_STUDY_ID,HPMS,FLOW_COUNT,SHAPE_Length
238,31500050,Y,6230,4TH AVE S,59,"4TH AVE S, S/O 2ND AV ET S",2013,6230,29500,313064,Y,Y,932.017380165578
239,50450230,Y,8728,ALASKAN WAY,82,"ALASKAN WAY, SE/O BLANCHARD ST",2013,8728,10900,312610, ,Y,4264.96292674291
240,181760010,N,22804,SW SPOKANE BR,259,"SW SPOKANE BR, W/O SW SPOKANE E ST",2013,22804,13100,312990,Y,Y,3997.45282894368
241,27200140,N,5452,35TH AVE SW,51,"35TH AVE SW, S/O SW ALASKA ST",2013,5452,24600,313062,Y,Y,7074.60116424615
242,78100010,R,489864,UNION ST OFF RAMP,261,"UNION ST OFF RP, NE/O UNION ST",2013,489864,9600,310729, ,Y,309.136216973012
243,77250010,R,489829,OLIVE WAY OFF RAMP,206,"OLIVE WY OFF RP, S/O OLIVE WAY",2013,489829,9100,311667, ,Y,1120.9357023746
244,96200020,R,490079,SENECA ST OFF RAMP,144,"I5 NB SENECA ST OFF RP, SE/O SENECA ST",2013,490079,13200,313523, ,Y,1443.09187831442
245,78200010,R,489781,YALE ST ON RAMP,142,"HOWELL ST ON RP, N/O I5 SB",2013,489781,19000,311671, ,Y,448.622393919978
246,75600010,R,490102,CHERRY ST ON RAMP NB,99,"CHERRY ST ON RP, NW/O CHERRY ST",2013,490102,11600,311666, ,Y,1466.01938384204
247,77300010,R,489779,MELROSE AVE ON RAMP,207,"OLIVE WY ON RP, N/O MELROSE AV ON RP",2013,489779,15200,311668, ,Y,1405.4477814875
248,50950010,N,8782,ALKI AVE SW,84,"ALKI AVE SW, W/O HARBOR AVE SW",2013,8782,9900,312864, ,Y,19122.2761264024
249,76650010,R,490110,JAMES ST ON RAMP SB,69,"6TH AV ON RP, SE/O 6TH AVE",2013,490110,21200,310682, ,Y,644.882326286976
250,75650010,R,490099,CHERRY ST REV RAMP,98,"CHERRY ST EXPRESS RP, NE/O CHERRY ST",2013,490099,3200,310677, ,Y,225.508948337042
251,76600020,R,490084,COLUMBIA ST OFF RAMP,145,"JAMES ST OFF RP, NW/O COLUMBIA ST",2013,490084,15500,310515, ,Y,314.991595957489
252,75680010,R,489839,PIKE RAMP,143,"I5 EXPR PIKE AND 9TH RP, N/O 9TH AV I5 EXPRESS ON RP",2013,489839,2900,310728, ,Y,2503.7754844319
253,77800010,R,490080,SPRING ST ON RAMP,246,"SPRING ST ON RP, SE/O SPRING ST",2013,490080,18800,310516, ,Y,424.613715658628
