OBJECTID,GEOBASID,DOWNTOWN,COMPKEY,STNAME,OID_,NAME,YEAR,SEGKEY,AAWDT,INPUT_STUD,HPMS,FLOW_COUNT,SHAPE_Length
28,112750300,N,14364,E MADISON ST,104,"E MADISON ST, SW/O LAKE WASHINGTON BLVD E",2010,14364,15800,301913, ,Y,3528.68698484604
29,94850310,N,12623,ROOSEVELT WAY NE,193,"ROOSEVELT WAY NE, N/O NE 73RD ST",2010,12623,15900,300973, ,Y,597.649017864327
30,16100020,N,3720,25TH AVE NE,92,"25TH AVE NE, S/O NE 47TH ST",2010,3720,17000,302156, ,Y,1566.28398221881
31,38850180,Y,7244,5TH AVE,63,"5TH AVE, NW/O LENORA ST",2010,7244,10800,218348, ,Y,3161.4284907128
32,44350100,Y,7882,6TH AVE,136,"6TH AVE, SE/O PIKE ST",2010,7882,14600,301197, ,Y,4217.53819645898
33,3200010,N,1523,12TH AVE,53,"12TH AVE, N/O E YESLER WAY",2010,1523,12600,301363, ,Y,6655.50805550824
34,67700130,N,10387,FAUNTLEROY WAY SW,253,"FAUNTLEROY WAY SW, S/O SW ALASKA ST",2010,10387,16100,301411, ,Y,6701.18430497235
35,100090,Y,1008,1ST AVE,202,"1ST AVE, SE/O PIKE ST",2010,1008,21100,302188, ,Y,3005.08610045248
36,98100150,N,12968,STONE WAY N,83,"STONE WAY N, S/O N 45TH ST",2010,12968,14200,301897, ,Y,7875.29036585137
37,114650070,Y,14599,E PIKE ST,251,"E PIKE ST, W/O BROADWAY",2010,14599,13100,301921, ,Y,2073.24908651775
38,148450150,N,18971,NW 85TH ST,188,"NW 85TH ST, W/O 16TH AVE NW",2010,18971,18900,301971, ,Y,7963.59860348177
39,96200010,Y,12786,SENECA ST OFF RP,158,"SENECA ST OFF RP, NE/O ALASKAN WY VI NB",2010,12786,11000,300139, ,Y,568.309333210951
40,110750030,N,14073,EAST GREEN LAKE WAY N,11,"EAST GREEN LAKE WAY N, NE/O N 57TH ST",2010,14073,18300,303086, ,Y,5650.60023890372
41,95550230,N,12724,SAND POINT WAY NE,266,"SAND POINT WAY NE, S/O NE 74TH ST",2010,12724,13900,302051, ,Y,2627.99576306581
42,87750010,N,11941,MYERS WAY S,75,"MYERS WAY S, S/O OLSON PL SW",2010,11941,5200,302065, ,Y,2781.79481847876
43,113000310,N,14409,EAST MARGINAL WAY S,147,"EAST MARGINAL WAY S, SE/O 4TH AVE S",2010,14409,19800,301919, ,Y,5366.35876901376
44,61150170,N,9833,CORSON AVE S,176,"CORSON AVE S, S/O S MICHIGAN ST",2010,9833,7100,301401, ,Y,2609.23123044645
45,104200130,Y,13507,WESTERN AVE,271,"WESTERN & ELLIOTT AVE, NW/O LENORA ST",2010,13507,9000,302192, ,Y,4123.16889187054
46,91650050,N,12231,PINEHURST WAY NE,21,"PINEHURST WAY NE, NE/O NE 115TH ST",2010,12231,10900,301449, ,Y,2635.54925348984
47,160500030,N,20110,S GRAHAM ST,24,"S GRAHAM ST, E/O SWIFT AVE S",2010,20110,9900,302005, ,Y,5651.07612462352
48,71050670,N,10775,GREENWOOD AVE N,255,"GREENWOOD AVE N, N/O N 107TH ST",2010,10775,23700,301421, ,Y,5295.66058268564
49,164950115,N,20699,S LUCILE ST,157,"S LUCILE ST, W/O 12TH AVE S",2010,20699,7300,301985, ,Y,2022.6383737247
50,5550680,N,2096,15TH AVE NE,164,"15TH AVE NE, S/O NE 145TH ST",2010,2096,14100,302170, ,Y,7106.19072714117
51,27200240,N,5462,35TH AVE SW,4,"35TH AVE SW, S/O SW MORGAN ST",2010,5462,20200,301373, ,Y,8613.68571915389
52,200640,N,1113,1ST AVE NE,130,"1ST AVE NE, S/O NE 145TH ST",2010,1113,5300,302185, ,Y,3986.72548795615
53,181450280,N,22771,SW ROXBURY ST,86,"SW ROXBURY ST, E/O 26TH AVE SW",2010,22771,16000,301995, ,Y,9082.82354480248
54,180000070,N,22592,SW MORGAN ST,52,"SW MORGAN ST, W/O 35TH AVE SW",2010,22592,6700,301993, ,Y,2660.88142109956
55,95550200,N,12722,SAND POINT WAY NE,228,"SAND POINT WAY NE, SW/O NE 65TH ST",2010,12722,14400,301895, ,Y,9653.77166346507
56,173900035,N,21818,SW AVALON WAY,85,"SW AVALON WAY, N/O 30TH AVE SW",2010,21818,15100,301963, ,Y,3425.59553578432
57,108300040,N,13812,E ALOHA ST,68,"E ALOHA ST, E/O 10TH AVE E",2010,13812,8700,300932, ,Y,870.360659217048
58,68750010,N,10563,FREMONT BR,254,"FREMONT BR, N/O POINT A",2010,10563,28200,303205, ,Y,1563.83520181665
59,47050150,Y,8164,7TH AVE,137,"7TH AVE, NW/O LENORA ST",2010,8164,4700,302125, ,Y,2363.70406662413
60,61150160,N,9832,CORSON AVE S,175,"CORSON AVE S, N/O S MICHIGAN ST",2010,9832,42000,301399, ,Y,1873.98787188968
61,23850280,N,5001,32ND AVE NW,243,"32ND AVE NW, S/O NW 80TH ST",2010,5001,4500,302141, ,Y,8343.25711047878
62,57900200,N,9548,CALIFORNIA AVE SW,144,"CALIFORNIA AVE SW, S/O SW CHARLESTOWN ST",2010,9548,14300,302095, ,Y,7978.44448675778
63,93450450,N,12383,RAINIER AVE S,192,"RAINIER AVE S, N/O S ALASKA ST",2010,12383,28100,301453, ,Y,1260.71429233419
64,50500050,Y,8738,ALASKAN WAY S,6,"ALASKAN WAY S, N/O S KING ST",2010,8738,10200,302109, ,Y,5022.67335862916
65,133200020,N,15656,NE 50TH ST,114,"N 50TH ST, W/O 1ST AVE NE",2010,15656,25300,301945, ,Y,4488.8950433353
66,83000140,B,11592,MADISON ST,43,"MADISON ST, NE/O BOREN AVE",2010,11592,23300,301441, ,Y,1269.95727161966
67,48050420,N,8469,8TH AVE S,245,"8TH AVE S, N/O CITY LIMITS",2010,8469,1900,218739, ,Y,3436.9497109687
68,82910010,N,11481,M L KING JR WAY,110,"M L KING JR WAY, N/O E YESLER WAY",2010,11481,14500,301433, ,Y,2335.64323216789
69,94250590,N,12545,RENTON AVE S,81,"RENTON AVE S, SE/O S BANGOR ST",2010,12545,11400,302055, ,Y,2893.13537099387
70,5750060,N,2188,15TH AVE W,54,"15TH AVE W, N/O W ARMORY WAY",2010,2188,39600,301151, ,Y,7640.7635211661
71,91150330,N,12159,PHINNEY AVE N,222,"PHINNEY AVE N, S/O N 65TH ST",2010,12159,11100,301447, ,Y,4076.44635077076
72,129750300,N,16504,NE 125TH ST,77,"NE 125TH ST, E/O 35TH AVE NE",2010,16504,9900,301941, ,Y,17300.9464366845
73,118500080,N,519931,N 125TH ST,44,"N 125TH ST, W/O AURORA AVE N",2010,519931,8700,302037, ,Y,2609.62338126058
74,5550500,N,2078,15TH AVE NE,87,"15TH AVE NE, S/O NE NORTHGATE WAY",2010,2078,7300,303440, ,Y,11465.342148404
75,38850120,Y,7235,5TH AVE,207,"5TH AVE, SE/O PIKE ST",2010,7235,13800,300342, ,Y,4844.80853947856
76,20800110,Y,4383,3RD AVE,168,"3RD AVE, SE/O PIKE ST",2010,4383,7900,302152, ,Y,4292.23532765886
77,188450140,N,23539,WEST MARGINAL WAY SW,270,"WEST MARGINAL WAY SW, NW/O HIGHLAND PARK WAY SW",2010,23539,16300,301909, ,Y,13076.4449499121
78,40250440,N,7537,51ST AVE S,134,"51ST AVE S, S/O S BANGOR ST",2010,7537,8900,302129, ,Y,9968.71322632913
79,5550250,N,2054,15TH AVE NE,89,"15TH AVE NE, S/O NE 75TH ST",2010,2054,7200,302172, ,Y,2680.44066481109
80,97450080,N,12881,SR509 NB,196,"SR509 NB & SB , S/O CLOVERDALE ST ON & OFF RP",2010,12881,57400,302198, ,Y,5993.17400335847
81,4450010,N,1840,14TH AVE,0,"14TH AVE, N/O E YESLER WAY",2010,1840,11800,301149, ,Y,2319.75986260732
82,94850755,N,12667,ROOSEVELT WAY NE,264,"ROOSEVELT WAY NE, SE/O NE 130TH N ST",2010,12667,18400,302053, ,Y,1819.62250415247
83,102580040,N,13330,WEST SEATTLE BR EB & WB,233,"WEST SEATTLE BR EB & WB , E/O DELRIDGE-W SEATTLE BR EB ON RP",2010,13330,101000,302196, ,Y,4775.92542096054
84,63450045,B,10000,DENNY WAY,101,"DENNY WAY, W/O 2ND AVE",2010,10000,30600,302849, ,Y,1115.20564465132
85,157550090,N,19832,S DEARBORN ST,23,"S DEARBORN ST, W/O 13TH AVE S",2010,19832,20400,302007, ,Y,4409.29152524823
86,38950700,N,7340,5TH AVE NE,169,"5TH AVE NE, S/O 145TH ST OFF RP",2010,7340,5800,302131, ,Y,3988.29727348121
87,161950010,N,20314,S HOLGATE BR,125,"S HOLGATE BR, E/O S HOLGATE ST",2010,20314,7000,302003, ,Y,6227.30517120448
88,112000040,N,14243,E JOHN ST,103,"E JOHN ST, E/O BROADWAY E",2010,14243,13100,301907, ,Y,972.86712563204
89,48100100,N,8477,8TH AVE SW,138,"8TH AVE SW, N/O SW ROXBURY ST",2010,8477,6500,302119, ,Y,2079.73698282032
90,19300260,N,4248,28TH AVE W,203,"28TH AVE W, S/O W DRAVUS ST",2010,4248,3800,302153, ,Y,7612.3852518541
91,20950790,N,4513,3RD AVE NW,132,"3RD AVE NW, S/O NW 145TH ST",2010,4513,8800,302147, ,Y,17217.8210650184
92,31500240,N,6252,4TH AVE S,33,"4TH AVE S, N/O S DAWSON ST",2010,6252,21200,302132, ,Y,6582.44685760069
93,6950380,N,2349,16TH AVE SW,55,"16TH AVE SW, N/O SW CAMBRIDGE ST",2010,2349,5100,302164, ,Y,5953.08378006434
94,104200090,Y,13503,WESTERN AVE,161,"WESTERN AVE, NW/O UNION ST",2010,13503,6300,302041, ,Y,4200.08113500275
95,89550010,N,12052,OLSON PL SW,79,"OLSON PL SW, SW/O 1ST AVE S",2010,12052,29800,302063, ,Y,2293.66521746773
96,65100270,N,10183,EASTLAKE AVE E,149,"EASTLAKE AVE E, SW/O HARVARD AVE E",2010,10183,15200,302083, ,Y,8709.56263593985
